D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_18_878.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_18_878.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_18_878.jpg, 0, 0, 0, 7.784897E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_19_233.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_19_233.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_19_233.jpg, 0, 0, 0, 7.800007E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_19_374.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_19_374.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_19_374.jpg, 0, 0, 0, 7.971632E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_19_547.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_19_547.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_19_547.jpg, 0, 0, 0, 7.831985E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_19_690.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_19_690.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_19_690.jpg, 0, 0, 0, 7.945787E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_19_828.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_19_828.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_19_828.jpg, 0, 0, 0, 7.862136E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_19_998.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_19_998.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_19_998.jpg, 0, 0, 0, 7.817706E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_20_166.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_20_166.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_20_166.jpg, 0, 0, 0, 7.808262E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_20_351.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_20_351.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_20_351.jpg, 0, 0, 0, 7.806657E-05
D:\thi xe tuuhanh\xe mo phong 2\IMG\center_2022_09_12_21_21_20_486.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\left_2022_09_12_21_21_20_486.jpg, D:\thi xe tuuhanh\xe mo phong 2\IMG\right_2022_09_12_21_21_20_486.jpg, -0.3950523, 0.3950523, 0, 0.6552161
